Month,Hour,wind,pv
9,7,1.533312,126.6172687
9,8,0.956832768,119.4148648
9,9,0.546683904,103.3952558
9,10,0.267964848,78.81747479
9,11,0.274553856,52.0761648
9,12,0.812124288,24.09033633
9,13,1.333584,4.040410734
9,14,3.404146032,0
9,15,7.060017024,0
9,16,11.93498726,0
9,17,13.20967454,0
9,18,11.13246374,0
9,19,8.090191728,0
9,20,5.760243072,0
9,21,4.125976704,0
9,22,3.127340016,0
9,23,3.027538944,0
9,0,2.387718,0
9,1,2.040838272,0.371673764
9,2,4.587121872,13.55521776
9,3,11.77149658,45.00535469
9,4,15.53042534,85.66975627
9,5,14.38521754,126.7810062
9,6,13.564278,160.1227291
9,7,12.86130571,174.8679676
9,8,11.853054,172.7075958
9,9,10.5926485,154.8313455
9,10,9.924624,123.6174965
9,11,8.476397136,76.86840249
9,12,4.674493296,33.45023633
9,13,0.987696,4.884290992
9,14,0.941645232,0
9,15,1.391557968,0
9,16,1.990656,0
9,17,1.575510912,0
9,18,1.277242992,0
9,19,1.169366544,0
9,20,1.051399296,0
9,21,1.003373424,0
9,22,0.987696,0
9,23,0.897048576,0
9,0,0.77175,0
9,1,0.682795008,0.415161512
9,2,2.223107856,14.84114429
9,3,4.373471232,44.43200623
9,4,3.810757248,80.40742452
9,5,2.091856896,116.3477979
9,6,1.491873408,141.950887
9,7,1.117784448,148.5333589
9,8,0.758595456,147.457229
9,9,0.457419312,128.8366181
9,10,0.536238,92.73450353
9,11,1.352726064,53.79719012
9,12,2.679786,23.9714423
9,13,3.368686464,3.672111256
9,14,6.068763648,0
9,15,7.533161856,0
9,16,5.964729984,0
9,17,4.674493296,0
9,18,3.333474,0
9,19,3.060566352,0
9,20,3.161088,0
9,21,3.622141008,0
9,22,3.810757248,0
9,23,3.475809936,0
9,0,3.027538944,0
9,1,2.472985728,0.406959651
9,2,5.365397376,15.99464567
9,3,12.6040873,48.00979614
9,4,13.83435533,82.53595081
9,5,9.852181776,114.2199007
9,6,6.334124688,137.0846396
9,7,4.207408128,143.0517156
9,8,2.962198656,136.5827583
9,9,2.091856896,111.2546636
9,10,1.554315984,83.09255208
9,11,0.798513552,53.15847761
9,12,0.161980416,24.35082524
9,13,0.047305296,3.752789712
9,14,0.346478976,0
9,15,1.186906752,0
9,16,1.990656,0
9,17,2.802975696,0
9,18,3.585180672,0
9,19,3.696822,0
9,20,4.125976704,0
9,21,4.005810288,0
9,22,3.512016,0
9,23,3.659354496,0
9,0,3.966279552,0
9,1,3.849249456,0.326882607
9,2,6.774606864,13.71880167
9,3,13.122,41.08131588
9,4,21.31716802,74.22980953
9,5,16.83794434,110.6899673
9,6,10.668672,143.6240448
9,7,6.496994304,160.2653005
9,8,3.849249456,160.527569
9,9,2.223107856,142.2298934
9,10,1.372050432,107.9321804
9,11,0.670674672,58.56978846
9,12,0.148363344,23.1722793
9,13,0.056018448,3.382900668
9,14,0.457419312,0
9,15,1.295843328,0
9,16,1.277242992,0
9,17,1.035224208,0
